,标题,链接,总价,均价,位置1,位置2,房屋户型,房本面积,房屋朝向,一手房源,所在楼层,装修情况,产权年限,建筑年代,小区名,小区均价,物业费,容积率,绿化率,车位信息
0,海沧旁.新出..海滨学 校边上.首付20万起 ，?,https://xm.58.com/ershoufang/44350318505117x.shtml,105.73,9700元/㎡,厦门周边,"招商大道,近丽江路",3室2厅2卫,109.0㎡,南北, 是 ,中层(共32层),精装修,70年产权,2016年,永鸿悦海湾,9821.0元/㎡,1.5元/平米/月,3,30.05,690
1,南北通2室2厅夏商新纪元(二期)精装修?,https://xm.58.com/ershoufang/44237321067676x.shtml,205,25065元/㎡,集美,"锦英南里55-68,79-80号",2室2厅1卫,81.79㎡,南北, 否 ,低层(共27层),精装修,70年产权,2015年,夏商新纪元(二期),26475.0元/㎡,2.0元/平米/月,3.04,38,750
2,好房天降 近嘉庚 23年通地铁 看房预约 精装交?,https://xm.58.com/ershoufang/44338436721184x.shtml,235,22863元/㎡,同安,美人山一里2-28号,3室2厅2卫,102.79㎡,南北, 否 ,高层(共33层),精装修,70年产权,2012年,禹洲大学城,24420.0元/㎡,1.6元/平米/月,4.5,35,1100
3,莲前东 瑞景 11年小区精装修南北通透 朋友的房?,https://xm.58.com/ershoufang/43984898857510x.shtml,448,45612元/㎡,思明,"侨福里1-19号,侨龙里1-18号",3室2厅1卫,98.22㎡,南北, 否 ,中层(共7层),精装修,70年产权,2010年,侨福城小区(二期),47846.0元/㎡,0.8元/平米/月,0,27,500
4,2室2厅 88平 简单装修 朝南 满二  住房 ?,https://xm.58.com/ershoufang/44333624060552x.shtml,210,23662元/㎡,集美,锦英南里70-78号,2室2厅1卫,88.75㎡,南, 否 ,低层(共23层),简单装修,70年产权,2016年,夏商新纪元(一期),26567.0元/㎡,2.0元/平米/月,3.04,38,1034
5,满二年 正北向 二室一厅 简单装修?,https://xm.58.com/ershoufang/43939688416021x.shtml,460,66503元/㎡,思明,莲岳里162号,2室1厅1卫,69.17㎡,北, 否 ,高层(共19层),简单装修,,2006年,荣滨大厦,70847.0元/㎡,1.25元/平米/月,7.17,0,270
6,满五年 正南向 二室一厅 精装修 前埔?,https://xm.58.com/ershoufang/44334385952146x.shtml,336,59575元/㎡,思明,前埔东一里17-32号,2室1厅1卫,56.4㎡,南, 否 ,高层(共11层),精装修,,2003年,华林东盛花园二期,58362.0元/㎡,1.2元/平米/月,1,0,100
7,新特价房杏北万达边上鑫锦家园精装3房带大阳台首付?,https://xm.58.com/ershoufang/44258841890183x.shtml,203,20506元/㎡,集美,锦园西路507-539号,3室2厅1卫,99.0㎡,南北, 否 ,低层(共18层),精装修,70年产权,2010年,鑫锦家园(一期),20844.0元/㎡,1.2元/平米/月,3,35,350
8,3天湖城天湖135平性价比3房惜售458万?,https://xm.58.com/ershoufang/44223016841628x.shtml,458,33732元/㎡,海沧,滨湖一里1-38号,3室2厅2卫,135.78㎡,南北, 否 ,高层(共24层),精装修,70年产权,2015年,天湖城天湖,36189.0元/㎡,1.95元/平米/月,2.96,40,5000
9,融侨观澜226万起 精装3房2厅2卫 低单价 地?,https://xm.58.com/ershoufang/44350327568898x.shtml,249,27978元/㎡,集美,"灌口大道,近松林路",3室2厅2卫,89.0㎡,东南, 是 ,,精装修,70年产权,2020年,融侨观澜,33560.0元/㎡,0.0元/平米/月,2.4,35,1000
